PC1,PC2,PC3,breakpoints,cell_cycle_state,cell_id,correlation,correlation0,correlation1,correlation2,correlation3,coverage_breadth,coverage_depth,library_id,mean_insert_size,median_insert_size,num_unique_bk,paired_duplicate_reads,paired_mapped_reads,percent_duplicate_reads,ploidy,pvalue,r_G1b,r_S4,r_ratio,slope,slope0,slope1,slope2,slope3,standard_deviation_insert_size,total_duplicate_reads,total_mapped_reads,total_properly_paired,total_reads,training_context,unmapped_reads,unpaired_duplicate_reads,unpaired_mapped_reads
-0.011361185560751073,-0.00018308741979686038,-0.0035926148574290354,56.0,G2,SA1044-A96147A-R25-C40,0.730449643578681,-0.026302662617188582,-0.0012880440294992547,0.015092419704919782,-0.21144021674885657,0.0609765844216,0.064835,A96147A,273.761593,234.0,3.0,208909,1131529,0.198947032616,2.7587818240412503,0.0,-0.09733763343404767,-0.05417274946216182,-0.09205237286278445,-42.95387941653499,0.0177448889153007,0.021788912197629174,1.4848281543873336,1.0128372295531323,161.682104,425313,2291430,1707705,2488862,holdout,197432,7495,28371
-0.04345625454041741,-0.017130878948264094,0.005296030065503406,47.0,G2,SA1044-A96147A-R25-C49,0.7493258346783391,-0.10627170511715467,-0.1939400093187178,-0.17486483264487568,-0.4687698963459991,0.0621479839293,0.065749,A96147A,282.559946,241.0,0.0,197452,1125345,0.189828561155,2.737834353851112,0.0,-0.18013152293220802,-0.1128186753487049,-0.18468801388244113,-27.467477827516817,0.022390601747526415,0.0272362811450959,1.9416380880252528,1.2663330239935087,169.01311,402564,2280406,1719245,2461408,holdout,181002,7660,29715
-0.03487428562988342,-0.0043246245389028555,0.0026686253276529187,54.0,G1,SA1044-A96147A-R26-C07,0.8026576046485525,-0.09678693681460587,-0.15313423981707958,-0.1305708203831892,-0.2027518275446997,0.07774987290910003,0.082523,A96147A,252.021945,216.0,0.0,308912,1525397,0.216705554839,2.7271994843699647,0.0,-0.12206191772804255,-0.10533995391568647,-0.15025614485872504,-33.37529495710711,0.027577086396430566,0.025390721371064937,1.2554155732110823,1.1804778667033526,145.582243,628196,3084914,2211680,3431534,holdout,346620,10372,34120
-0.030655619138189316,-0.011326161016757614,0.0011698118302155944,51.0,G1,SA1044-A96147A-R26-C13,0.7924226427992469,-0.10698014566058822,-0.1849645610928873,-0.16178161956009912,-0.23176690502904637,0.0805456807538,0.086028,A96147A,250.995757,216.0,0.0,351895,1620238,0.233064359644,2.7376732194650337,0.0,-0.18030193490882016,-0.1049552892251472,-0.1811373374958255,-29.648214007503938,0.028911431267621402,0.026254726134448646,1.294759070953866,1.220811805256387,144.075265,715834,3277645,2348061,3638928,holdout,361283,12044,37168
-0.04333092824747072,0.009893960575136463,0.012312978219862304,51.0,G1,SA1044-A96147A-R26-C21,0.8003655291414521,-0.09684163326125915,-0.15948709263932612,-0.13693468847327597,-0.2555482498634054,0.07212766120860001,0.076515,A96147A,255.616421,220.0,0.0,275850,1394944,0.212127934006,2.6778923622301,0.0,-0.13014055550504727,-0.11412873582364744,-0.1577427437931377,-34.35159732574205,0.02538014127790753,0.025724229155260216,1.3502597919176866,1.1960215050052327,147.822887,561320,2822080,2041242,3173736,holdout,351656,9620,32192
-0.01249364743309554,-0.0033739940258097566,0.0009303111878033522,52.0,G2,SA1044-A96147A-R26-C39,0.7606908957050826,-0.06663153423162646,-0.02511160623356357,-0.005860624331701085,-0.19353027309925314,0.06981369053230001,0.074607,A96147A,268.700688,228.0,4.0,257464,1330711,0.209012831218,2.7589429584273284,0.0,-0.09661840059507112,-0.043960233835445124,-0.10271513475844864,-42.29644861526643,0.023493144539012377,0.022130869804579786,1.3551773614658003,1.0289213433267967,160.310592,523475,2692185,1975773,2917298,holdout,225113,8547,30762
-0.03323558355289451,-0.009288501319203146,-0.0035490632326168428,51.0,G2,SA1044-A96147A-R26-C50,0.757746351360929,-0.0842278095392733,-0.12705708084454526,-0.10890948883336221,-0.444548240540199,0.0654107164808,0.069503,A96147A,293.325443,249.0,1.0,230099,1194617,0.208064162077,2.7270383499838866,0.0,-0.12393667611096693,-0.11508249644785705,-0.15665210832455517,-33.654861117662804,0.022512422862315213,0.02531102109544512,1.9529112358603307,1.1766155469166677,176.58500800000004,468121,2419000,1854054,2639328,holdout,220328,7923,29765
-0.017616793581342403,-0.008436698866389947,0.00022087614725483103,54.0,G1,SA1044-A96147A-R27-C08,0.8171755818965363,-0.07241659347861669,-0.12654125509682024,-0.10334794572096151,-0.13352292924349907,0.0741682431528,0.07875599999999999,A96147A,246.546111,212.0,1.0,296363,1467063,0.21606991729,2.7315501127940705,0.0,-0.13150033593472113,-0.0795231817350503,-0.13382846873929125,-35.5520822014839,0.02473422116950682,0.024310864431525143,1.1430581732228053,1.1302833154261096,141.437953,602720,2965790,2096500,3293064,holdout,327274,9994,31664
-0.07271208415900757,-0.03273805856459777,-0.0002634853358304257,46.0,G1,SA1044-A96147A-R27-C10,0.6390387368027768,-0.16933302848796622,-0.3455490357666631,-0.32944376479099535,-0.5836012569921947,0.0560811895112,0.05883500000000001,A96147A,291.3658240000001,250.0,0.0,215948,1028611,0.225494781587,2.735095069287786,0.0,-0.2228386776140366,-0.1564400247008102,-0.2434975972139676,-9.66462129554317,0.023742135705543007,0.03307757208081422,2.382430950483695,1.5389862331999398,171.62368600000005,439236,2082435,1611662,2306426,holdout,223991,7340,25212
-0.02159913652659218,-0.0054184759981412214,0.010608471212006988,45.0,G1,SA1044-A96147A-R27-C12,0.7903811397454811,-0.07314945688573159,-0.09549335386915722,-0.0748114899034204,-0.14205479772730267,0.0700009300488,0.074192,A96147A,252.269754,216.0,0.0,266127,1361656,0.20905164746,2.7417015791169836,0.0,-0.0937940592392709,-0.0613368688456953,-0.10821203388195429,-38.847782823277434,0.02327631310559286,0.023618840042349362,1.1734073655875745,1.0980951446928606,146.659422,541663,2754482,1962299,3104346,holdout,349864,9409,31170
-0.02293963001393582,-0.011782738656154012,0.006225534576476682,50.0,G1,SA1044-A96147A-R27-C21,0.801110744847738,-0.09541832785421522,-0.1491976300746141,-0.12641580237372235,-0.19760686560382734,0.07414487211630001,0.078874,A96147A,251.344373,216.0,1.0,295618,1457438,0.21748944631,2.733322591040928,0.0,-0.15039811404739617,-0.09386883806864409,-0.15312277515862782,-34.11979320384351,0.026071178253115754,0.0249259881418626,1.2334611906498114,1.158880009497316,144.16128600000005,601663,2948258,2115487,3256138,holdout,307880,10427,33382
-0.039196139913596335,-0.012494621091964756,0.003358349289710086,53.0,G2,SA1044-A96147A-R27-C44,0.7499543661392344,-0.10273106073741274,-0.18275181608945582,-0.16358152306909304,-0.29508399314657113,0.06897157365010001,0.07298400000000001,A96147A,260.350026,223.0,1.0,292454,1351727,0.232364969195,2.7241379310344827,0.0,-0.17163153800288367,-0.13513334912586478,-0.19468012325181264,-28.688452333498233,0.025100497916248812,0.026850273295451057,1.4672260599259874,1.248471045070458,151.943893,594586,2734303,1990322,3019422,holdout,285119,9678,30848
-0.08160460111415722,-0.03911832661634144,-0.0009714323237284275,47.0,G2,SA1044-A96147A-R27-C52,0.610303711424877,-0.17368637965598888,-0.3209421965602957,-0.3059165192929283,-0.4249116011717298,0.0504802481662,0.052999,A96147A,315.657909,270.0,0.0,183610,898559,0.221053533558,2.735095069287786,0.0,-0.2325139140483721,-0.19798533620886527,-0.2681805273837711,-9.27292943424644,0.021138624321824867,0.03323793607835018,1.8013657640919942,1.5462612648461533,189.597472,373539,1820559,1447476,1965966,holdout,145407,6319,23441
